severity,finding,surface,player_id,name,position,field,ours,published,note
3,source absence rendered as a number,draft-board,16906,Tyler Onyedim,DT,games_played,0,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
3,source absence rendered as a number,draft-board,16906,Tyler Onyedim,DT,team_games,17,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
3,source absence rendered as a number,draft-board,16914,Domonique Orange,DT,games_played,0,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
3,source absence rendered as a number,draft-board,16914,Domonique Orange,DT,team_games,17,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
3,source absence rendered as a number,draft-board,16948,K.J. Osborn,WR,games_played,0,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
3,source absence rendered as a number,draft-board,16948,K.J. Osborn,WR,team_games,17,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
3,source absence rendered as a number,draft-board,16999,LT Overton,DT,games_played,0,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
3,source absence rendered as a number,draft-board,16999,LT Overton,DT,team_games,17,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
3,source absence rendered as a number,draft-board,17015,Gervarrius Owens,S,games_played,0,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
3,source absence rendered as a number,draft-board,17015,Gervarrius Owens,S,team_games,17,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
3,source absence rendered as a number,draft-board,17038,Jeremiah Owusu-Koramoah,LB,games_played,0,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
3,source absence rendered as a number,draft-board,17038,Jeremiah Owusu-Koramoah,LB,team_games,17,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
3,source absence rendered as a number,draft-board,17109,Trey Palmer,WR,games_played,0,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
3,source absence rendered as a number,draft-board,17109,Trey Palmer,WR,team_games,17,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
3,source absence rendered as a number,draft-board,17178,TJ Parker,LB,games_played,0,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
3,source absence rendered as a number,draft-board,17178,TJ Parker,LB,team_games,17,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
3,source absence rendered as a number,draft-board,17296,Pooh Paul Jr.,LB,games_played,0,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
3,source absence rendered as a number,draft-board,17296,Pooh Paul Jr.,LB,team_games,17,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
3,source absence rendered as a number,draft-board,17327,VJ Payne,S,games_played,0,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
3,source absence rendered as a number,draft-board,17327,VJ Payne,S,team_games,17,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
3,source absence rendered as a number,draft-board,17330,Cole Payton,QB,games_played,0,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
3,source absence rendered as a number,draft-board,17330,Cole Payton,QB,team_games,17,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
